lat,lon,NDVI,FCC,carbon_tC_ha,region,typology
21.984623966278797,88.64210654632389,0.7549606299212599,93,186.69921259842522,Sundarbans,Delta
22.168368348585894,89.0275368930721,0.7482609566885179,92,185.36521913377035,Sundarbans,Delta
21.914253575918526,88.982512926558,0.5385253240237227,64,147.57050648047448,Sundarbans,Delta
21.868325420114832,88.64709063089943,0.7618032287541883,82,173.63606457508374,Sundarbans,Delta
21.91937033945446,88.58914202710304,0.7648195876288659,98,192.8963917525773,Sundarbans,Delta
21.81745699828836,89.10530498526484,0.7390778533635677,88,180.38155706727136,Sundarbans,Delta
21.756781712650664,89.27119578428817,0.47721075185040907,62,143.94421503700818,Sundarbans,Delta
21.890989757330964,88.8375032333236,0.7217056748958,84,175.234113497916,Sundarbans,Delta
21.59016748247029,88.73786959728183,0.8046324269889225,94,188.89264853977846,Sundarbans,Delta
21.89342235792951,88.54895455461185,0.6939852268730214,93,185.47970453746046,Sundarbans,Delta
21.8440223408684,88.62710389065549,0.6175807663410969,78,165.95161532682195,Sundarbans,Delta
21.99720991195926,89.05198353254693,0.7707450030284676,98,193.01490006056935,Sundarbans,Delta
21.84883839689799,89.42145024143122,0.7256116444719728,98,192.11223288943944,Sundarbans,Delta
22.02547116676079,89.10181170702941,0.6518145885734818,78,166.63629177146967,Sundarbans,Delta
22.147960965055546,88.93443997687854,0.5268904164981804,84,171.33780832996362,Sundarbans,Delta
21.715848386572603,88.55378018900637,0.5983367983367983,74,160.76673596673598,Sundarbans,Delta
21.985766296419598,89.18499899370138,0.6667244067209424,80,169.33448813441885,Sundarbans,Delta
21.591330408945705,88.83888559635493,0.8593707986017747,100,197.1874159720355,Sundarbans,Delta
21.958246446475748,89.33080017716996,0.7809085681426107,100,195.61817136285222,Sundarbans,Delta
22.05887657854767,88.7488059728075,0.7124053965120105,89,181.04810793024023,Sundarbans,Delta
22.16308515436406,89.33300466689265,0.6243016759776536,87,176.88603351955308,Sundarbans,Delta
21.78863775152655,88.80123897319501,0.7587038952085488,93,186.774077904171,Sundarbans,Delta
22.436359845305105,89.47657185418987,0.6906545099316184,88,179.41309019863235,Sundarbans,Delta
22.162960376354118,89.41465214181983,0.6905426356589147,86,177.01085271317828,Sundarbans,Delta
22.072852191789735,89.01712094782411,0.6921368280764105,87,178.2427365615282,Sundarbans,Delta
21.99536787496679,88.67819648675311,0.7198162729658792,96,189.59632545931757,Sundarbans,Delta
22.1597046073693,89.30535856711923,0.7420986093552465,84,175.64197218710495,Sundarbans,Delta
21.821235534781238,89.36874924263255,0.700374531835206,93,185.60749063670414,Sundarbans,Delta
21.733051559286107,89.39359333933092,0.7455371632586822,100,194.91074326517364,Sundarbans,Delta
21.81326480496561,88.92975895439575,0.7434869739478958,92,185.26973947895792,Sundarbans,Delta
22.064791843562404,88.76938894315958,0.4530545305453055,51,130.2610906109061,Sundarbans,Delta
21.97445687609574,89.01894641093415,0.7219730941704036,87,178.8394618834081,Sundarbans,Delta
21.961863204642484,88.58578601641508,0.6967356967356967,90,181.93471393471393,Sundarbans,Delta
22.103487236913786,89.13891106827762,0.7238532110091743,88,180.07706422018347,Sundarbans,Delta
